,sistema_costeiro,bioma,area,populacao,temp_media,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,n_pertence,mata_atlantica,1331.962,2467,23.00,30.65,35.17,35.71,39.28,41.14,41.25,44.03,46.87,50.02,49.10,51.17,57.77,69.30,66.87,71.88
,n_pertence,mata_atlantica,244.057,23218,22.00,808.41,781.73,828.60,918.86,974.25,1009.72,1029.10,1113.52,1168.29,1146.81,1240.32,1271.66,1320.69,1242.22,1338.37
,n_pertence,mata_atlantica,53.222,25477,22.00,999.19,1089.48,1085.86,1213.33,1198.99,1301.75,1471.61,1462.41,1570.97,1516.33,1531.02,1528.42,1568.48,1556.57,1662.57
,n_pertence,mata_atlantica,199.166,11106,22.00,321.95,313.38,339.91,357.94,418.08,430.75,434.23,476.03,487.79,489.44,552.49,550.48,584.27,569.60,610.70
,n_pertence,mata_atlantica,140.873,3462,22.00,76.32,83.47,85.92,92.35,103.40,104.86,109.00,117.38,123.93,132.37,139.18,140.58,153.04,150.02,158.47
,n_pertence,mata_atlantica,208.391,2709,22.00,38.65,35.13,42.07,48.07,55.34,50.00,56.54,60.33,59.60,62.77,66.84,70.37,76.95,77.39,77.77
,n_pertence,mata_atlantica,418.544,3013,22.00,29.37,28.34,33.94,34.74,38.74,36.77,37.78,40.98,44.17,45.88,51.77,49.29,52.28,56.88,68.64
,n_pertence,mata_atlantica,124.866,3025,22.00,11.90,12.45,15.60,20.80,22.14,24.77,25.13,30.33,33.27,30.87,36.76,37.00,42.29,42.27,53.66
,n_pertence,mata_atlantica,624.846,227587,22.00,7839.30,8146.87,8769.86,9764.30,10585.80,10956.90,11577.36,12613.33,13617.83,12906.04,14849.00,14544.74,15789.04,14350.47,16682.14
,n_pertence,mata_atlantica,799.194,75683,22.00,2845.63,2958.63,3038.02,3331.10,3576.21,3690.58,3918.01,4241.65,4518.65,4239.47,4881.64,4850.82,5219.25,4790.38,5563.23
,n_pertence,mata_atlantica,83.556,4585,22.00,52.77,60.09,65.36,71.84,82.56,86.11,89.91,104.83,115.02,117.95,133.22,148.98,165.66,159.13,191.84
,n_pertence,mata_atlantica,233.698,9900,22.00,234.18,240.66,254.31,272.24,304.66,316.00,324.01,362.85,370.46,365.34,383.01,398.75,414.95,412.66,460.36
,n_pertence,mata_atlantica,107.502,2560,22.00,26.18,29.54,34.51,34.76,36.70,36.18,42.22,44.61,44.36,44.30,45.49,46.57,49.53,46.05,56.36
,n_pertence,mata_atlantica,647.388,12315,22.00,531.20,534.83,572.91,629.50,684.17,700.37,744.34,791.11,793.18,794.02,813.68,848.70,888.26,868.77,919.38
,n_pertence,mata_atlantica,405.761,16300,22.00,471.38,510.19,570.91,551.83,579.27,591.48,660.63,709.56,678.86,686.69,741.25,765.18,810.74,749.05,797.07
,n_pertence,mata_atlantica,234.865,219393,22.00,9085.96,9073.44,9461.60,9996.71,10593.36,10700.31,10919.59,11593.30,11789.61,11279.64,12144.78,11722.48,12340.85,11543.27,12078.79
,n_pertence,mata_atlantica,220.099,11150,22.00,285.49,288.51,299.17,341.58,355.22,364.52,418.55,445.58,472.44,432.86,491.97,500.36,545.96,485.56,549.55
,n_pertence,mata_atlantica,949.865,40037,22.00,1496.83,1489.73,1520.17,1634.06,1804.09,1779.04,1895.40,2030.24,2096.57,2037.25,2303.65,2245.25,2358.25,2166.62,2413.82
,n_pertence,mata_atlantica,287.057,8136,22.00,189.38,187.22,197.34,213.83,221.04,228.05,242.60,261.54,279.06,263.76,299.46,325.03,338.10,320.37,354.10
,n_pertence,mata_atlantica,378.843,15592,22.00,343.44,346.45,385.16,415.13,435.13,447.77,490.12,558.61,615.38,560.15,629.22,664.13,720.58,634.83,699.19
,n_pertence,mata_atlantica,178.157,4224,22.00,79.92,78.61,84.78,96.59,106.10,114.45,131.15,140.24,145.86,141.85,147.18,149.85,161.98,167.99,168.38
,n_pertence,mata_atlantica,374.205,4164,22.00,81.00,80.41,85.13,97.85,103.43,106.78,119.17,125.93,144.39,136.02,136.53,143.58,144.94,148.02,160.26
,n_pertence,mata_atlantica,65.311,2059,22.00,114.91,116.97,134.15,135.83,148.49,155.50,163.13,190.74,188.68,180.02,197.31,214.35,231.45,216.59,244.40
,n_pertence,mata_atlantica,208.841,4423,22.00,307.92,323.03,337.26,391.53,407.70,418.94,438.33,471.49,498.79,474.85,519.86,548.31,575.41,537.15,605.86
,Pertence,mata_atlantica,340.070,10630,22.00,16.34,14.28,17.10,21.84,23.46,24.97,26.64,31.66,37.93,36.89,35.56,39.68,43.53,48.40,47.64
,n_pertence,mata_atlantica,674.844,516524,22.00,162645.00,16500.50,170865.50,175203.50,179789.50,180604.00,182610.00,189131.50,194736.50,201338.50,206056.00,209283.00,213070.00,217742.00,221163.00
,n_pertence,mata_atlantica,100.408,2481,22.00,42.09,42.21,47.75,53.30,52.90,53.86,59.93,68.78,65.21,62.48,69.04,78.05,82.02,76.81,86.60
,Pertence,mata_atlantica,183.351,27621,22.00,7.91,7.68,7.27,7.54,7.98,10.17,10.03,10.72,10.95,9.64,9.74,11.93,12.55,11.59,12.12
,n_pertence,mata_atlantica,549.188,36723,22.00,1209.39,1246.41,1336.25,1413.46,1473.94,1492.97,1514.70,1687.86,1753.93,1676.52,1852.74,1825.55,1935.10,1828.42,2029.22
,Pertence,mata_atlantica,158.775,1918,22.00,34.59,42.16,31.37,40.81,38.50,36.26,41.69,45.26,49.53,49.52,53.18,54.76,54.21,55.18,57.22
,n_pertence,mata_atlantica,139.836,2711,22.00,83.16,79.52,77.25,91.95,94.30,96.03,104.81,116.53,113.95,105.58,107.86,123.24,130.02,126.16,136.25
,n_pertence,mata_atlantica,114.773,24070,22.00,983.92,1031.59,1078.13,1182.24,1224.53,1294.78,1455.71,1525.49,1675.34,1619.86,1847.28,1916.14,2096.59,2133.79,2536.83
,n_pertence,mata_atlantica,503.595,18816,22.00,465.61,454.28,516.16,567.92,640.95,647.34,723.89,776.28,801.70,828.53,829.71,767.01,921.38,910.36,1013.45
,Pertence,mata_atlantica,386.616,71925,22.00,3386.11,3218.33,3516.26,3787.91,4011.10,4105.23,4433.04,4667.87,4827.56,4838.75,4752.41,4930.84,5177.15,5080.29,5319.31
,Pertence,mata_atlantica,127.556,14739,22.00,759.49,847.08,818.94,914.49,951.80,994.36,1091.44,1187.54,1205.48,1505.27,1236.57,1207.24,1388.02,1451.48,1679.72
